,author,category,content,published_date,title,url
42,Ankur Taliyan,sports,"After Tottenham Hotspur lost to Manchester United 1-2 at Old Trafford late on Wednesday, Spurs manager Jose Mourinho said that his former club deserved to win. ""I think for the first 30 minutes they were the best team,"" he added. This was the Spurs' first defeat under Mourinho after having won three games in a row. ",2019-12-05T11:01:25.000Z,Man Utd deserved to win: Jose Mourinho after Spurs defeat,https://inshorts.com/en/read/sports
43,Ankur Taliyan,sports,"Pakistan Test captain Azhar Ali on Friday said the Test series loss against Australia has hurt the pride of Pakistan cricket. ""The two innings defeat is not acceptable and I will offer no excuses for this,"" he added. On the upcoming Test series at home against Sri Lanka, Ali said, ""We have to come up with a new game plan.""",2019-12-06T15:57:54.000Z,Test series loss against Aus hurt pride of Pak cricket: Azhar Ali,https://inshorts.com/en/read/sports
44,Ankur Taliyan,sports,"Australia all-rounder Glenn Maxwell on Thursday was seen training with his stateside Victoria in Melbourne. ""I'm not sure if it is this week or Big Bash, but he's not far away I think,"" teammate Marcus Harris said on his comeback. In October, Maxwell had withdrawn from Australia's T20I squad mid-series against Sri Lanka to deal with mental health issues.",2019-12-06T13:59:46.000Z,"Maxwell trains with Victoria, teammate hints return",https://inshorts.com/en/read/sports
45,Ankur Taliyan,sports,"On being asked about his plans for India captain Virat Kohli, West Indies coach Phil Simmons jokingly said that they can maybe have two bowlers to bowl at Kohli at the same time. Another option is to ""make him bat with a stump,"" Phil added. ""We can make sure that the bowlers don't get too scared of him,"" he stated.",2019-12-04T17:38:18.000Z,We can make him bat with a stump: WI coach on how to get Kohli out,https://inshorts.com/en/read/sports
46,Dishant Sharma,sports,Teen pacer Naseem Shah was on Friday named in Pakistan's under-19 World Cup squad after having made his senior Test debut in Australia. The head coach of the Pakistan junior team Ejaz Ahmed had requested the chief selector and national bowling coach Waqar Younis to release Naseem from the senior squad for the youth World Cup.,2019-12-06T13:18:20.000Z,Teen pacer Naseem named in Pakistan U-19 World Cup squad,https://inshorts.com/en/read/sports
47,Ankur Taliyan,sports,"Real Madrid forward Eden Hazard is likely to miss La Liga's El Clasico against Barcelona, to be held on December 19 at 12.30 am (IST), after being diagnosed with a fractured ankle. Hazard was injured during last week's 2-2 draw against Paris Saint-Germain in the Champions League group stage match. Today Madrid revealed that Hazard has ""an incomplete external microfracture"".
",2019-12-05T17:07:13.000Z,Eden Hazard may miss El Clasico after ankle fracture,https://inshorts.com/en/read/sports
48,Ankur Taliyan,sports,"Former India captain and former chief selector Kris Srikkanth has said that India needs to replace opener Shikhar Dhawan with KL Rahul in T20Is. ""The need of the hour is instant firepower and that's one area where India are lacking,"" Srikkanth added. Dhawan has scored 272 runs in the 12 T20Is he played for India in 2019. ",2019-12-06T13:55:35.000Z,"Slot Rahul as opener, look beyond Dhawan: Kris Srikkanth",https://inshorts.com/en/read/sports
49,Dishant Sharma,sports,"Speaking about India's fifth rank in the T20I team rankings, Indian captain Virat Kohli said, ""[W]e have not played the strongest eleven together in T20Is so rankings cannot be considered. We have the mindset that we will not focus on the rankings."" ""We need to focus on batting first and defending low totals as well,"" Kohli added.",2019-12-06T12:14:07.000Z,We will not focus on the rankings: Kohli on India's T20I rank,https://inshorts.com/en/read/sports
50,Roshan Gupta,technology,"OnePlus announced its sixth anniversary sale, starting today till December 17. Customers can avail discount of ₹2,000 up to ₹6,000 on the purchase of OnePlus 7 Pro and 7T. Additionally, there is an instant discount of ₹2,000, ₹1,500 and ₹3,000 on the purchase of 7 Pro, 7T and 7T Pro respectively using HDFC card.",2019-12-06T10:33:38.000Z,"OnePlus 7T, 7 Pro get special offers during anniversary sale on Amazon",https://inshorts.com/en/read/technology
51,Kanishka Pandey,technology,"Google's 47-year-old India-born CEO Sundar Pichai, recently named the CEO of Google-parent Alphabet as well, rejected a ""big new grant"" of restricted stock in 2018 because he felt he was already paid generously, Bloomberg reported. Pichai, who joined Google in 2004, was made its CEO in 2015. He reportedly hasn't received an equity award in over two years.",2019-12-06T03:32:57.000Z,Sundar Pichai rejected Google shares worth millions in 2018: Bloomberg,https://inshorts.com/en/read/technology
52,Kanishka Pandey,technology,"After a report surfaced online detailing the iPhone 11 Pro model's constant check for users' location, even when all settings are off, Apple admitted to the same. However, the iPhone maker said that it does so to legally use their ultra-wideband chips. ""International regulatory requirements"" force us to turn off UWB in certain places, Apple said.",2019-12-06T10:03:14.000Z,Apple admits iPhone 11 Pro seeks location even when setting is off,https://inshorts.com/en/read/technology
53,Anmol Sharma,technology,"A resident of Bengaluru's Koramangala lost ₹95,000 in online scam after ordering a pizza through an app. The man looked for the app's customer care number after not receiving the pizza for an hour. A fraudster posing as a customer care executive sent him a message for refund. The fraudsters accessed his bank account details and deducted ₹95,000.",2019-12-05T09:34:25.000Z,"Bengaluru man orders pizza through app, ends up losing ₹95,000 in online scam",https://inshorts.com/en/read/technology
54,Krishna Veera Vanamali,technology,"SoftBank CEO Masayoshi Son has said the decision to invest $20 million in Alibaba in 2000 was driven by gut feeling. ""I could smell him...We're the same animal. We are both a little crazy,"" Son said of Jack Ma, Alibaba's Co-Founder. Ma said Son insisted on investing $50 million but that he declined saying it was too large a sum.",2019-12-06T16:27:31.000Z,"We are the same animal, we are both a little crazy: Masayoshi Son on Jack Ma",https://inshorts.com/en/read/technology
55,Kanishka Pandey,technology,"YouTube launched 'Rewind 2019', the follow-up to its eight-minute 2018 version which became the most-disliked YouTube video ever in seven days of release. ""In 2018, we made something you didn't like. For Rewind 2019, let's see what you DID like,"" YouTube captioned its video. The 'Rewind 2018' currently has 17 million dislikes, a million more than shown in 'Rewind 2019'.",2019-12-06T07:07:58.000Z,"YouTube launches Rewind 2019, follow-up to the most disliked video ever",https://inshorts.com/en/read/technology
56,Kanishka Pandey,technology,The US National Archives will upload high-definition 3D images of the bullets used in the assassination of late 35th US President John F Kennedy to its online catalogue. A team was able to create 3D surface maps of the projectiles after imaging them using a microscope with multiple lenses at different focal lengths. Kennedy was assassinated in November 1963.,2019-12-06T06:57:27.000Z,US agency to preserve bullets used to assassinate JFK with 3D scans,https://inshorts.com/en/read/technology
57,Kanishka Pandey,technology,"The Netherlands' University of Twente researchers used a chip-based sensor with an integrated laser to detect very low levels of a cancer protein biomarker in a urine sample. ""Current methods to measure biomarker levels are expensive and sophisticated,"" the research team leader said. The device can also potentially be used to detect different types of gases or liquid mixtures.",2019-12-05T15:00:19.000Z,Chip-based optical sensor detects cancer biomarker in urine,https://inshorts.com/en/read/technology
58,Kanishka Pandey,technology,"Apple may release a new ""completely wireless"" iPhone in 2021 which will lack a Lightning charging port, a report by analyst Ming-Chi Kuo said. Kuo further said the iPhone maker would only remove the port from the highest-end iPhone. Apple has relied on the Lightning port for all its phones since it was first introduced on iPhone 5 in 2013.",2019-12-06T04:53:34.000Z,Apple may release an iPhone model with no charging port by 2021,https://inshorts.com/en/read/technology
59,Pragya Swastik,technology,"American newspaper The Wall Street Journal misspelt the last name of Google's parent company Alphabet's newly-appointed CEO Sundar Pichai as 'Pinchai'. Twitter users reacted to the error with tweets like, ""If only WSJ had Googled his name"" and ""That would pinch the writer hard!"" The newspaper later issued a correction for the mistake on its website.",2019-12-05T12:36:34.000Z,Sundar Pichai's last name misspelt as 'Pinchai' on WSJ's front page,https://inshorts.com/en/read/technology
60,Anushka Dixit,technology,"Amazon Web Services (AWS) CEO Andy Jassy criticised Pentagon's decision to award the Joint Enterprise Defense Infrastructure (JEDI) contract to Microsoft, saying it was ""unfairly awarded"". ""We are talking about the defence of the US, and we have a government that has unfairly awarded a contract,"" he said. The contract, valued at $10 billion, was awarded to Microsoft in October.",2019-12-05T14:59:42.000Z,US unfairly awarded $10 bn cloud contract to Microsoft: AWS CEO,https://inshorts.com/en/read/technology
61,Dharna,technology,"Facebook has filed a lawsuit against Hong Kong-based 'ILikeAd' and two Chinese nationals for allegedly abusing its ad platform to run a malware scheme. Facebook alleged the firm used celebrity baits and ""cloaking"" for hiding ads' real destination, to lure users into downloading and installing malware. The malware then compromised victims' ad accounts and ran deceptive ads on their behalf.",2019-12-06T07:41:13.000Z,Facebook sues Hong Kong-based firm 'ILikeAd' for alleged ad fraud,https://inshorts.com/en/read/technology
62,Dharna,technology,"WhatsApp is deactivating user accounts in Jammu & Kashmir amid the government's restrictions on internet services entering their fifth month, several users have complained. WhatsApp said that accounts typically expire after 120 days of inactivity, following which users are automatically removed from all group chats. Nearly 1.5 million accounts were deactivated in the region, reports claimed.",2019-12-06T05:27:21.000Z,WhatsApp deactivates user accounts in Kashmir amid internet curbs,https://inshorts.com/en/read/technology
63,Sakshita Khosla,technology,The Parliamentary Standing Committee on Women Empowerment on Thursday sought cooperation from Facebook to strengthen online vigilance in view of rising crimes against women on social media. The social media giant showed a presentation on working of the sites. The Committee was also made aware of the current system via which women can report cyber harassment or cyber bullying.,2019-12-05T17:35:29.000Z,Parliamentary panel on women meets Facebook to discuss cyber crimes,https://inshorts.com/en/read/technology
64,Dharna,technology,"Google is developing a Maps feature that shows brightly lit streets, aiming to make night travel safer, as per strings in the app's beta version found by XDA Developers. Named 'Lighting', it highlights streets that have good lighting with yellow colour, helping users avoid streets with poor or no lighting. The feature is expected to be piloted in India first.",2019-12-06T03:39:15.000Z,Google Maps develops feature to show brightly lit roads: Report,https://inshorts.com/en/read/technology
65,Anushka Dixit,technology,"After Google fired four employees over violation of data security policies, the employees are planning to file labour charges against the tech giant. The employees argued that they weren't fired for violating the policies but for speaking against the company's practices. Google has been facing protests over issues including its work with the military and handling of sexual abuse complaints.",2019-12-05T16:11:47.000Z,Fired Google employees to charge firm with unfair labour practices,https://inshorts.com/en/read/technology
66,Aishwarya,technology,Uber Technologies' CEO Dara Khosrowshahi said the company could extend its food delivery service to offer courier services for other retail businesses. Khosrowshahi said they could extend its delivery model to every local retailer in New York so that anything could be delivered in under 30 minutes. Uber in October had acquired a majority stake in online grocery service Cornershop. ,2019-12-06T04:06:57.000Z,Uber may offer courier services for retail business: CEO Khosrowshahi,https://inshorts.com/en/read/technology
67,Aishwarya,technology,"Discussing India's readiness to launch 5G spectrum, Senior VP of Qualcomm Alex Katouzian said since 5G has a major impact on the economy, India wouldn't want to be left far behind the rest. He also talked about discussions with Indian government regarding impact of 5G on various markets. Katouzian said economic impact will make India accelerate its move to 5G.",2019-12-05T11:57:50.000Z,Indian govt wouldn't want to be too far behind on 5G: Qualcomm,https://inshorts.com/en/read/technology
68,Aishwarya,technology,"Qualcomm has announced it will create reference hardware, software and cloud components for augmented reality (AR) glasses in collaboration with Pokémon GO developer Niantic. The multi-year collaboration is to speed up the development and optimise it for Qualcomm's XR2 platform. The platform is a follow-up of its XR1 platform and supports 5G connectivity, eye tracking and voice-based interaction.",2019-12-06T11:57:02.000Z,Qualcomm to develop AR glasses with Pokémon GO maker Niantic,https://inshorts.com/en/read/technology
69,Anushka Dixit,technology,"IT Minister Ravi Shankar Prasad said that personal data of 20 WhatsApp users were accessed by the NSO Group in the Pegasus spyware attack out of the 121 users whose devices were targeted. Meanwhile, the government had announced in November it would conduct an audit of WhatsApp's security systems. The Pegasus spyware attack infected about 1,400 devices across 20 countries.

",2019-12-05T10:15:16.000Z,Personal data of 20 WhatsApp users accessed via Pegasus spyware: Govt,https://inshorts.com/en/read/technology
70,Dharna,technology,"India is the fifth-worst country in terms of privacy of biometric data collected by the government, said a report by UK tech research firm Comparitech. The report scored each country out of 25, with 25 indicating most invasive use of biometrics. India scored 19, sharing its spot with Indonesia, Taiwan and the Philippines, while China scored the highest at 24.",2019-12-06T11:12:36.000Z,India 5th worst country for biometric data privacy: Report,https://inshorts.com/en/read/technology
71,Aishwarya,technology,"Language-learning app Duolingo raised $30 million in a Series F funding from Alphabet's CapitalG. Post the investment, Duolingo's valuation stands at $1.5 billion. At present, Duolingo's total funding comes to $138 million with investments from Ashton Kutcher and Tim Ferriss, among others. It is now the first Pittsburgh-based tech startup valued at more than $1 billion.",2019-12-05T10:13:41.000Z,Duolingo raises $30 million from Alphabet's CapitalG,https://inshorts.com/en/read/technology
72,Aishwarya,technology,"India may soon force platforms like Facebook and TikTok to offer a user verification option, a potential step toward reining the spread of ""fake news"", Reuters reported. With the required mechanism in place, users will have a mark of verification similar to the blue check-mark on Twitter. However, the verification would be optional for users, the report added. ",2019-12-05T16:58:53.000Z,"India may force FB, TikTok to offer user verification: Reports",https://inshorts.com/en/read/technology
73,Aishwarya,technology,"A study by a British organisation that certifies businesses for good tax conduct stated six of Silicon Valley's top tech giants avoided paying over $100 billion in taxes over the past decade. It analysed global tax payments made by Amazon, Facebook, Google, Apple, Netflix and Microsoft. The research found over a $100-billion difference between their provisions and actual taxes paid. ",2019-12-05T17:26:35.000Z,6 tech giants contributed to $100 bn 'tax gap' in 10 yrs: Study,https://inshorts.com/en/read/technology
74,Anushka Dixit,technology,"Google has launched a messaging feature in Google Photos which will allow users to send one-off photos and videos to an ongoing, private conversation in the app for a ""simpler experience"". ""You can like photos or comment in the conversation and you can save these photos or videos to your own gallery,"" said Janvi Shah, Product Manager for Google Photos.",2019-12-05T14:48:19.000Z,Google launches private chat feature in its Google Photos app,https://inshorts.com/en/read/technology
